Crash Number,City Town Name,Crash Date,Crash Severity,Crash Status,Crash Time,Crash Year,Max Injury Severity Reported,Number of Vehicles,Police Agency Type,State Police Troop,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Age of Vulnerable User - Youngest Known,Age of Vulnerable User - Oldest Known,Crash Hour,Driver Contributing Circumstances (All Drivers),Driver Distracted By (All Vehicles),First Harmful Event,Is Geocoded,Light Conditions,Manner of Collision,MassDOT District,Vulnerable User Action (All Persons),Vulnerable User Location (All Persons),Vulnerable User Type (All Persons),RMV Document Numbers,Road Surface Condition,Roadway Junction Type,RPA Abbreviation,Total Fatalities,Total Non-Fatal Injuries,Traffic Control Device Type,Trafficway Description,Vehicle Actions Prior to Crash (All Vehicles),Vehicle Configuration (All Vehicles),Vehicle Emergency Use (All Vehicles),Vehicle Towed From Scene (All Vehicles),Vehicle Travel Directions (All Vehicles),Weather Conditions,County Name,Crash Report IDs,FMCSA Reportable (All Vehicles),FMCSA Reportable (Crash),First Harmful Event Location,Geocoding Method,Hit and Run,Locality,Most Harmful Event (All Vehicles),Road Contributing Circumstance,School Bus Related,Speed Limit,Traffic Control Device Function,Vehicle Sequence of Events (All Vehicles),Work Zone Related,Vulnerable User Sequence of Events (All Persons),Vulnerable User Distracted By (All Persons),Vulnerable User Traffic Control Type (All persons),Vulnerable User Origin Destination (All Persons),Vulnerable User Contributing Circumstances (All Persons),Vulnerable User Alcohol Suspected Type (All Persons),Vulnerable User Drug Suspected Type (All Persons),X,Y,Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Distance and Direction From Intersection,Milemarker,Milemarker Route,Distance and Direction From Milemarker,Exit Number,Exit Route,Distance and Direction From Exit,Landmark,Distance and Direction From Landmark,AADT-linked RD,AADT Year-linked RD,Peak % Single Unit Trucks-linked RD,Single-Unit Truck and Bus AADT-linked RD,Peak % Combo Trucks-linked RD,Combination Truck AADT-linked RD,Curb-linked RD-linked RD,Jurisdiction-linked RD,Truck Route-linked RD,Left Sidewalk Width-linked RD,Right Sidewalk Width-linked RD,Left Shoulder Width-linked RD,Left Shoulder Type-linked RD,Surface Width-linked RD,Surface Type-linked RD,Right Shoulder Width-linked RD,Right Shoulder Type-linked RD,Number of Travel Lanes-linked RD,Number of Opposing Travel Lanes-linked RD,Median Width-linked RD,Median Type-linked RD,Urban Type-linked RD,Functional Classification-linked RD,Urbanized Area-linked RD,Federal Aid Route Number-linked RD,Facility Type-linked RD,Street Operation-linked RD,Access Control-linked RD,Number of Peak Hour Lanes-linked RD,Speed Limit-linked RD,Street Name-linked RD,From Street Name-linked RD,To Street Name-linked RD,City-linked RD-linked RD,Structural Condition-linked RD,Terrain-linked RD,Urban Location Type-linked RD,AADT Derivation-linked RD,AADT Station Number-linked RD,Opposing Direction Speed Limit-linked RD,Undivided Left Shoulder Type-linked RD,Undivided Left Shoulder Width-linked RD,Truck Exclusion Type-linked RD,Truck Exclusion Time-linked RD,Federal Functional Classification-linked RD
5482302,MALDEN,1/2/25,Property damage only (none injured),Open,5:45 PM,2025,No Apparent Injury (O),2,State police,A,21-24,35-44,,,05:00PM to 05:59PM,D1: (Failed to yield right of way)  / D2: (No improper driving) ,D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Dark - lighted roadway,Angle,4,,,, PW20254518153,Dry,Four-way intersection,MAPC,0,0,Traffic control signal,"Two-way, divided, unprotected median",V1: Turning left / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)",V1: W  / V2: S,Clear/Clear,MIDDLESEX, 2025-ATrp-64,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,234278.0154,909373.6251,42.43413137,-71.08341148,, FELLSWAY EAST Rte    / HIGHLAND AVE Rte,,,,,,,,,,,9198,2020,0.477,451,0.068,55,Both sides,Department of Conservation and Recreation,,0,5,0,No Shoulder,35,Bituminous concrete road,0,No Shoulder,3,2,30,Raised Median,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,25,FELLSWAY EAST,MELROSE CITY LINE,FELLSWAY WEST,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,0,0,0,,,Minor Arterial
5485087,MALDEN,1/2/25,Property damage only (none injured),Open,8:38 AM,2025,No Apparent Injury (O),2,State police,A,25-34,35-44,,,08:00AM to 08:59AM,D1: (Failed to yield right of way)  / D2: (No improper driving) ,,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254521115,Dry,T-intersection,MAPC,0,0,No controls,"Two-way, divided, unprotected median",V1: Turning left / V2: Travelling straight ahead,"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",V1:(No) / V2:(No),V1:(No) / V2:(No),V1: W  / V2: N,Clear,MIDDLESEX, 2025-ATrp-43,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",30,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,234327.3123,908793.7498,42.42890886,-71.08284684,, FELLSWAY EAST Rte    / MAPLE ST Rte,,,,,,,,,,,9198,2020,0.477,451,0.068,55,Both sides,Department of Conservation and Recreation,,5,5,0,No Shoulder,36,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,FELLSWAY EAST,MELROSE CITY LINE,FELLSWAY WEST,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Minor Arterial
5487076,MALDEN,1/18/25,Property damage only (none injured),Open,6:29 PM,2025,No Apparent Injury (O),3,State police,A,21-24,65-74,,,06:00PM to 06:59PM,D1: (Followed too closely)  / D2: (No improper driving)  / D3: (Followed too closely) ,D2: Not Distracted / D3: Not Distracted,Collision with motor vehicle in traffic,Yes,Dark - lighted roadway,Rear-end,4,,,, PW20254523274,Wet,Not at junction,MAPC,0,0,No controls,"Two-way, divided, positive median barrier",V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",V1:(No) / V2:(No) / V3:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(No) / V3:(No)",V1: S  / V2: S  / V3: S,Rain/Rain,SUFFOLK, 2025-ATrp-627,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",Roadway,Operator Designated,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),Traffic congestion related,"No, school bus not involved",,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),No,,,,,,,,239197.3527,909752.4817,42.4373102,-71.02360111,, BENNETT HIGHWAY Rte US1 S, RAMP-RT 1 SB TO SALEM ST (LYNN ST),100 feet W  of,,,,,,,,,77794,2014,0.269,3357,0.08,2748,Right side only,Massachusetts Department of Transportation,,0,0,2,Hardened bituminous mix or penetration,24,Bituminous concrete road,10,Hardened bituminous mix or penetration,2,2,4,Positive Barrier – rigid,Large Urbanized Area,Rural or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,Full Access Control,2,50,BENNETT HIGHWAY,,RAMP-RT 1 SB TO SALEM ST (LYNN ST),MALDEN,Deficient,Level Terrain,,Grown,8006,0,0,0,,,Principal Arterial - Other Freeways or Expressways
5487080,MALDEN,1/19/25,Non-fatal injury,Open,10:54 PM,2025,Possible Injury (C),1,State police,A,21-24,21-24,,,10:00PM to 10:59PM,D1: (Exceeded authorized speed limit) ,D1: Not Distracted,Collision with tree,Yes,Dark - lighted roadway,Single vehicle crash,4,,,, PW20254523280,Snow,Not at junction,MAPC,0,1,No controls,"Two-way, divided, unprotected median",V1: Travelling straight ahead,V1:(Passenger car),V1:(No),"V1:(Yes, vehicle or trailer disabled)",V1: E,Snow/Snow,MIDDLESEX, 2025-ATrp-677,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,Off Intersection,No hit and run,,V1:(Collision with tree),None,"No, school bus not involved",25,"No, device not functioning", V1:(Collision with tree),No,,,,,,,,234313.3281,908946.7502,42.43028686,-71.08300769,, FELLSWAY EAST, SAVIN ST Rte,,,,,,,,Malden,0 feet E  of,9198,2020,0.477,451,0.068,55,Both sides,Department of Conservation and Recreation,,5,5,0,No Shoulder,36,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,FELLSWAY EAST,MELROSE CITY LINE,FELLSWAY WEST,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Minor Arterial
5490284,MALDEN,1/19/25,Non-fatal injury,Open,8:18 AM,2025,Suspected Minor Injury (B),2,MBTA police,,25-34,45-54,,,08:00AM to 08:59AM,D1: (No improper driving)  / D2: (No improper driving) ,D1: Not Distracted / D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254526737,Ice,T-intersection,MAPC,0,2,Stop signs,"Two-way, not divided",V1: Travelling straight ahead / V2: Slowing or stopped in traffic,"V1:(Bus (seats for 16 or more, including driver)) / V2:(Passenger car)",V1:(No) / V2:(No),V1:(No) / V2:(No),V1: E  / V2: N,Clear,MIDDLESEX, 2025-0000221(A),"V1:(Yes, federally reportable) / V2:(No, not federally reportable)","Yes, federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,236643.828,907828.875,42.42011711,-71.05475773,, FERRY ST Rte E  / BELMONT ST Rte N,,,,,,,,,,,7281,2020,0.477,356,0.068,44,Both sides,City or Town accepted road,,10,10,0,No Shoulder,40,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,FERRY STREET,EVERETT CITY LINE,MAIN STREET,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Minor Arterial
5491923,MALDEN,1/26/25,Fatal injury,Open Fatal,3:36 AM,2025,Fatal injury (K),2,Local police,,55-64,55-64,,,03:00AM to 03:59AM,D2: (Unknown) ,D2: Not Distracted,Collision with parked motor vehicle,Yes,Dark - lighted roadway,Head-on,4,,,, PW20254530482 / PR20254528491 / PW20254530482 / PR20254528491,Dry,T-intersection,MAPC,1,0,No controls,"Two-way, divided, unprotected median",V1: Parked / V2: Unknown,"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",V1:(No) / V2:(No),V1:(No) / V2:(No),V1: S  / V2: U,Clear,MIDDLESEX, 25000075 / 25000075,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,Operator Designated,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with parked motor vehicle),No,,,,,,,,236253.6251,908595.0622,42.42703297,-71.05945074,, FRANKLIN STREET / EASTERN AVENUE Rte SR60 W,,,,,,,,,,,1154,,,,,,Both sides,City or Town accepted road,,7,7,0,No Shoulder,25,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,One-way traffic,No Access Control,,,FRANKLIN STREET,UPHAM STREET,SALEM STREET,MALDEN,Good,Level Terrain,,,,,0,0,,,Local
5493454,MALDEN,1/3/25,Property damage only (none injured),Open,12:26 AM,2025,No Apparent Injury (O),1,Local police,,45-54,45-54,,,12:00AM to 12:59AM,D1: (Unknown) ,,Collision with guardrail,Yes,Dark - lighted roadway,Single vehicle crash,4,,,, PW20254530416,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Travelling straight ahead,V1:(Passenger car),V1:(No),"V1:(Yes, vehicle or trailer disabled)",V1: E,Clear,MIDDLESEX,25000003,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,No hit and run,,V1:(Collision with guardrail),Unknown,"No, school bus not involved",25,Not reported, V1:(Collision with guardrail),No,,,,,,,,236815.4513,909572.5515,42.4358065,-71.05256131,71, BAINBRIDGE ST Rte E,,,,,,,,,,,7187,2020,0.21,352,0,42,Both sides,City or Town accepted road,,7,7,0,No Shoulder,25,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,BAINBRIDGE STREET,ROCKWELL STREET,MOUNT VERNON STREET,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Major Collector
5493456,MALDEN,1/9/25,Unknown,Open,10:31 AM,2025,Not reported,2,Local police,,,,,,10:00AM to 10:59AM,,,Collision with parked motor vehicle,Yes,Dusk,Angle,4,,,, PW20254530415,Unknown,Not at junction,MAPC,0,0,No controls,"One-way, not divided",V1: Parked / V2: Backing,"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",V1:(No) / V2:(No),V1:(No) / V2:(No),V1: Not Reported / V2: N,Clear,MIDDLESEX,25000014,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),None,"No, school bus not involved",25,Not reported, V1:(Collision with parked motor vehicle) V2:(Collision with parked motor vehicle),No,,,,,,,,234860.0139,908871.1839,42.42958232,-71.07636877,71, CEDAR ST Rte N,,,,,,,,,,,1154,,,,,,Both sides,City or Town accepted road,,7,7,0,No Shoulder,24,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,One-way traffic,No Access Control,,,CEDAR STREET,PLEASANT STREET,CLIFTON STREET,MALDEN,Good,Level Terrain,,,,,0,0,,,Local
5493457,MALDEN,1/3/25,Property damage only (none injured),Open,1:34 PM,2025,No Apparent Injury (O),1,Local police,,75-84,75-84,,,01:00PM to 01:59PM,D1: (Unknown) ,,Other,Yes,Daylight,Single vehicle crash,4,,,, PW20254530414,Unknown,Not at junction,MAPC,0,0,No controls,Unknown,V1: Other,V1:(Passenger car),V1:(No),V1:(No),V1: U,Clear,MIDDLESEX,25000004,"V1:(No, not federally reportable)","No, not federally reportable",Unknown,At Address,No hit and run,,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))",Unknown,"No, school bus not involved",25,Not reported," V1:(Collision with other fixed object(wall, building, tunnel, etc.))",No,,,,,,,,235048.5591,908373.1107,42.42508995,-71.07410776,65, COMMERCIAL ST Rte 6,,,,,,,,,,,14655,2020,0.477,718,0.068,88,Both sides,City or Town accepted road,,7,7,0,No Shoulder,46,Bituminous concrete road,0,No Shoulder,4,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,COMMERCIAL STREET,PLEASANT STREET,MEDFORD CITY LINE,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Minor Arterial
5493458,MALDEN,1/11/25,Unknown,Open,2:40 PM,2025,Not reported,1,Local police,,,,,,02:00PM to 02:59PM,,,Collision with parked motor vehicle,Yes,Daylight,"Sideswipe, opposite direction",4,,,, PW20254530431,Snow,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Parked,V1:(Passenger car),V1:(No),V1:(No),V1: N,Snow,MIDDLESEX,25000022,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with motor vehicle in traffic),Unknown,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic),No,,,,,,,,236823.2926,908653.4379,42.42753181,-71.05252462,150, WILLOW ST Rte N,,,,,,,,,,,7166,2020,0.232,352,0,42,Both sides,City or Town accepted road,,10,10,0,No Shoulder,40,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,25,WILLOW STREET,CROSS STREET,EASTERN AVENUE,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,25,0,0,,,Minor Arterial
5493459,MALDEN,1/6/25,Property damage only (none injured),Open,6:05 PM,2025,Not Applicable,1,Local police,,35-44,35-44,,,06:00PM to 06:59PM,D1: (Unknown) ,,Unknown,Yes,Unknown,Unknown,4,,,, PW20254530417,Unknown,Not at junction,MAPC,0,0,No controls,Unknown,V1: Parked,V1:(Passenger car),V1:(No),V1:(No),V1: U,Unknown,MIDDLESEX,25000009,"V1:(No, not federally reportable)","No, not federally reportable",Unknown,At Address,"Yes, hit and run",,V1:(Unknown),Unknown,"No, school bus not involved",25,"No, device not functioning",,No,,,,,,,,238684.7841,910418.4934,42.44333156,-71.02978604,665, BROADWAY Rte W,,,,,,,,,,,10575,2020,,,,,Both sides,Massachusetts Department of Transportation,,5,,0,No Shoulder,26,Bituminous concrete road,8,Hardened bituminous mix or penetration,2,0,0,None,Large Urbanized Area,Rural minor arterial or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,35,BROADWAY,EVERETT CITY LINE,MELROSE CITY LINE,MALDEN,Good,Level Terrain,,Pulled back from HPMS network estimation routine,,35,Surfaced shoulder exists – Portland Cement Concrete surface (PCC,8,,,Principal Arterial - Other
5493460,MALDEN,1/7/25,Property damage only (none injured),Open,2:15 PM,2025,No Apparent Injury (O),1,Local police,,45-54,45-54,,,02:00PM to 02:59PM,D1: (No improper driving) ,D1: Not Distracted,Collision with parked motor vehicle,Yes,Daylight,"Sideswipe, same direction",4,,,, PW20254530420,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, not divided",V1: Parked,V1:(Passenger car),V1:(No),V1:(No),V1: N,Clear,MIDDLESEX,25000010,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with parked motor vehicle),Unknown,"No, school bus not involved",25,Not reported, V1:(Collision with parked motor vehicle),No,,,,,,,,235889.8725,908610.924,42.4271926,-71.06386995,24, HOLDEN ST Rte N,,,,,,,,,,,2798,2020,0.21,136,0,17,Both sides,City or Town accepted road,,7,7,0,No Shoulder,36,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,HOLDEN STREET,SALEM STREET,CENTRE STREET,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,99,0,0,,,Major Collector
5493461,MALDEN,1/10/25,Property damage only (none injured),Open,1:11 PM,2025,No Apparent Injury (O),2,Local police,,21-24,21-24,,,01:00PM to 01:59PM,D1: (Inattention)  / D2: (No improper driving) ,D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254530429,Dry,Not at junction,MAPC,0,0,No controls,"Two-way, divided, unprotected median",V1: Backing / V2: Turning left,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: U  / V2: S,Clear,MIDDLESEX,25000017,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,236183.6771,908913.1049,42.42989941,-71.0602808,195, SALEM ST Rte W,,,,,,,,,,,13977,2020,0.477,684,0.068,84,Both sides,City or Town accepted road,,9,9,0,No Shoulder,40,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban minor arterial or rural major collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,SALEM STREET,MAIN STREET ,,MALDEN,Good,Level Terrain,,Grown from Prior Year HPMS Network,,30,0,0,,,Minor Arterial
5493463,MALDEN,1/1/25,Non-fatal injury,Open,5:41 PM,2025,Possible Injury (C),2,Local police,,25-34,25-34,,,05:00PM to 05:59PM,D1: (No improper driving)  / D2: (No improper driving) ,D1: Not Distracted / D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Dark - lighted roadway,Angle,4,,,, PW20244530430,Wet,Four-way intersection,MAPC,0,5,Traffic control signal,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)",V1: E  / V2: N,Clear,MIDDLESEX,25000002,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,235572.8125,908388.375,42.42520363,-71.06773647,, CENTRE ST Rte    / MAIN ST Rte,,,,,,,,,,,14589,2020,0.558,671,0.155,161,Both sides,City or Town accepted road,,0,8,0,No Shoulder,22,Bituminous concrete road,0,No Shoulder,2,2,5,Raised Median,Large Urbanized Area,Rural minor arterial or urban principal arterial,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,30,CENTRE STREET,PLEASANT STREET,EASTERN AVENUE,MALDEN,Good,Level Terrain,,Pulled back from HPMS network estimation routine,,0,0,0,,,Principal Arterial - Other
5493464,MALDEN,1/4/25,Property damage only (none injured),Open,10:03 AM,2025,No Apparent Injury (O),2,Local police,,55-64,75-84,,,10:00AM to 10:59AM,D1: (Unknown)  / D2: (Unknown) ,,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254530419,Dry,Four-way intersection,MAPC,0,0,Stop signs,"Two-way, not divided",V1: Turning left / V2: Turning left,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: W  / V2: S,Clear,MIDDLESEX,25000006,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),None,"No, school bus not involved",25,Not reported, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,236245.5157,909397.1873,42.43425449,-71.05949894,, BAINBRIDGE ST Rte W  / PIERCE ST Rte S,,,,,,,,,,,3581,2020,,,,,Both sides,City or Town accepted road,,7,7,0,No Shoulder,25,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,BAINBRIDGE STREET,ROCKWELL STREET,MOUNT VERNON STREET,MALDEN,Good,Rolling Terrain,,Pulled back from HPMS network estimation routine,,99,0,0,,,Major Collector
5493465,MALDEN,1/18/25,Unknown,Open,8:56 PM,2025,Not reported,1,Local police,,,,,,08:00PM to 08:59PM,,,Collision with parked motor vehicle,Yes,Unknown,"Sideswipe, same direction",4,,,, PW20254530432,Wet,Not at junction,MAPC,0,0,No controls,"One-way, not divided",V1: Parked,V1:(Passenger car),V1:(No),V1:(No),V1: U,Rain,MIDDLESEX,25000045,"V1:(No, not federally reportable)","No, not federally reportable",Roadway,At Address,"Yes, hit and run",,V1:(Collision with parked motor vehicle),None,"No, school bus not involved",25,"No, device not functioning", V1:(Collision with parked motor vehicle),No,,,,,,,,234568.0242,907806.5589,42.420011,-71.07998078,2, SCHOOL ST Rte 6,,,,,,,,,,,1154,,,,,,None,Unaccepted by city or town,,0,0,0,No Shoulder,16,Surface-treated road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Local,Boston (MA-NH-RI),,Mainline roadway,One-way traffic,No Access Control,,,SCHOOL STREET,HIGHLAND AVENUE,WEST STREET,MALDEN,Deficient,Level Terrain,,,,,0,0,,,Local
5493466,MALDEN,1/11/25,Property damage only (none injured),Open,8:28 AM,2025,No Apparent Injury (O),2,Local police,,35-44,45-54,,,08:00AM to 08:59AM,D1: (No improper driving)  / D2: (No improper driving) ,D1: Not Distracted / D2: Not Distracted,Collision with motor vehicle in traffic,Yes,Daylight,Angle,4,,,, PW20254530422,Snow,Four-way intersection,MAPC,0,0,Traffic control signal,"Two-way, not divided",V1: Travelling straight ahead / V2: Travelling straight ahead,V1:(Passenger car) / V2:(Passenger car),V1:(No) / V2:(No),V1:(No) / V2:(No),V1: W  / V2: S,Snow,MIDDLESEX,25000020,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",Roadway,At Intersection,No hit and run,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"Road surface condition (wet, icy, snow, slush, etc.)","No, school bus not involved",25,"Yes, device functioning", V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),No,,,,,,,,236369.5626,909026.6248,42.43091272,-71.05801473,, PIERCE ST Rte S  / SALEM ST Rte W,,,,,,,,,,,3581,2020,,,,,Both sides,City or Town accepted road,,7,7,0,No Shoulder,30,Bituminous concrete road,0,No Shoulder,2,0,0,None,Large Urbanized Area,Urban collector or rural minor collector,Boston (MA-NH-RI),,Mainline roadway,Two-way traffic,No Access Control,,99,PIERCE STREET,FOREST STREET,SALEM STREET,MALDEN,Good,Rolling Terrain,,Pulled back from HPMS network estimation routine,,99,0,0,,,Major Collector
